9077.8	9080.2	1	5
9080.2	9082.6	-1	5
9082.6	9085.0	1	5
9085.0	9087.4	-1	5
9087.4	9089.8	1	5
9089.8	9092.2	-1	5
9092.2	9094.6	1	5
9094.6	9101.8	-1	5
9101.8	9106.6	1	5
9106.6	9109.0	-1	5
9109.0	9111.4	1	5
9111.4	9116.2	-1	5
9116.2	9118.6	1	5
9118.6	9125.8	-1	5
9125.8	9128.2	1	5
9128.2	9130.6	-1	5
9130.6	9133.0	1	5
9133.0	9137.8	-1	5
9137.8	9149.8	1	5
9149.8	9152.2	-1	5
9152.2	9159.4	1	5
9159.4	9169.0	-1	5
9169.0	9171.4	1	5
9171.4	9173.8	-1	5
9173.8	9181.0	1	5
9181.0	9183.4	-1	5
9183.4	9185.8	1	5
9185.8	9188.2	-1	5
9188.2	9193.0	1	5
9193.0	9195.4	-1	5
9195.4	9197.8	1	5
9197.8	9200.2	-1	5
9200.2	9202.6	1	5
9202.6	9205.0	-1	5
9205.0	9209.8	1	5
9209.8	9212.2	-1	5
9212.2	9214.6	1	5
9214.6	9219.4	-1	5
9343	10473.4	2	5
10473.4	10497	1	0
10485	10497	2	5
10573	10580.2	-1	5
10580.2	10585	1	5
10585	10589.8	-1	5
10589.8	10592.2	1	5
10592.2	10597.0	-1	5
10597.0	10601.8	1	5
10601.8	10606.6	-1	5
10606.6	10609.0	1	5
10609.0	10618.6	-1	5
10618.6	10623.4	1	5
10623.4	10625.8	-1	5
10625.8	10630.6	1	5
10630.6	10633.0	-1	5
10633.0	10637.8	1	5
10637.8	10640.2	-1	5
10640.2	10642.6	1	5
10642.6	10645.0	-1	5
10645.0	10647.4	1	5
10647.4	10657.0	-1	5
10657.0	10661.8	1	5
10661.8	10666.6	-1	5
10666.6	10671.4	1	5
10671.4	10673.8	-1	5
10673.8	10676.2	1	5
10676.2	10678.6	-1	5
10678.6	10685.8	1	5
10685.8	10688.2	-1	5
10688.2	10690.6	1	5
10690.6	10695.4	-1	5
10695.4	10700.2	1	5
10700.2	10702.6	-1	5
10702.6	10705.0	1	5
10705.0	10712.2	-1	5
10712.2	10714.6	1	5
10714.6	10719.4	-1	5
10843	11973.4	2	5
11985	11997	2	5
12073	12080.2	-1	5
12080.2	12089.8	1	5
12089.8	12094.6	-1	5
12094.6	12106.6	1	5
