0	120	1	450
120	210	-1	450
210	240	1	450
240	300	-1	450
300	330	1	450
330	390	-1	450
390	420	1	450
420	450	-1	450
450	480	1	450
600	7980	2	450
1312000	1312030	1	450
1312030	1312060	-1	450
1312060	1312120	1	450
1312120	1312180	-1	450
1312180	1312210	1	450
1312210	1312240	-1	450
1312240	1312270	1	450
1312270	1312330	-1	450
1312330	1312360	1	450
1312360	1312390	-1	450
1312390	1312480	1	450
1312600	1319980	2	450
2624000	2624060	1	450
2624060	2624090	-1	450
2624090	2624120	1	450
2624120	2624180	-1	450
2624180	2624210	1	450
2624210	2624300	-1	450
2624300	2624330	1	450
2624330	2624480	-1	450
2624600	2631980	2	450
3936000	3936030	1	450
3936030	3936090	-1	450
3936090	3936120	1	450
3936120	3936210	-1	450
3936210	3936270	1	450
3936270	3936330	-1	450
3936330	3936360	1	450
3936360	3936420	-1	450
3936420	3936450	1	450
3936450	3936480	-1	450
3936600	3943980	2	450
5248000	5248090	1	450
5248090	5248180	-1	450
5248180	5248210	1	450
5248210	5248270	-1	450
5248270	5248390	1	450
5248390	5248420	-1	450
5248420	5248480	1	450
5248600	5255980	2	450
6560000	6560030	1	450
6560030	6560060	-1	450
6560060	6560090	1	450
6560090	6560210	-1	450
6560210	6560300	1	450
6560300	6560360	-1	450
6560360	6560390	1	450
6560390	6560450	-1	450
6560450	6560480	1	450
6560600	6567980	2	450
7872000	7872060	1	450
7872060	7872210	-1	450
7872210	7872240	1	450
7872240	7872270	-1	450
7872270	7872450	1	450
7872450	7872480	-1	450
7872600	7879980	2	450
9184000	9184030	1	450
9184030	9184180	-1	450
9184180	9184210	1	450
9184210	9184240	-1	450
9184240	9184300	1	450
9184300	9184360	-1	450
9184360	9184420	1	450
9184420	9184480	-1	450
9184600	9191980	2	450
10496000	10496150	1	450
10496150	10496180	-1	450
10496180	10496210	1	450
10496210	10496270	-1	450
10496270	10496300	1	450
10496300	10496330	-1	450
10496330	10496360	1	450
10496360	10496390	-1	450
10496390	10496450	1	450
10496450	10496480	-1	450
10496600	10503980	2	450
11808000	11808030	1	450
11808030	11808060	-1	450
11808060	11808150	1	450
11808150	11808210	-1	450
11808210	11808330	1	450
11808330	11808390	-1	450
11808390	11808420	1	450
11808420	11808480	-1	450
11808600	11815980	2	450
13120000	13120060	1	450
13120060	13120090	-1	450
13120090	13120150	1	450
13120150	13120210	-1	450
13120210	13120240	1	450
13120240	13120270	-1	450
13120270	13120300	1	450
13120300	13120330	-1	450
13120330	13120360	1	450
13120360	13120420	-1	450
13120420	13120480	1	450
13120600	13127980	2	450
14432000	14432030	1	450
14432030	14432090	-1	450
14432090	14432150	1	450
14432150	14432180	-1	450
14432180	14432210	1	450
14432210	14432240	-1	450
14432240	14432330	1	450
14432330	14432450	-1	450
14432450	14432480	1	450
14432600	14439980	2	450
15744000	15744090	1	450
15744090	15744120	-1	450
15744120	15744150	1	450
15744150	15744210	-1	450
15744210	15744240	1	450
15744240	15744360	-1	450
15744360	15744390	1	450
15744390	15744480	-1	450
15744600	15751980	2	450
17056000	17056030	1	450
17056030	17056060	-1	450
17056060	17056090	1	450
17056090	17056120	-1	450
17056120	17056150	1	450
17056150	17056180	-1	450
17056180	17056210	1	450
17056210	17056240	-1	450
17056240	17056270	1	450
17056270	17056300	-1	450
17056300	17056390	1	450
17056390	17056420	-1	450
17056420	17056450	1	450
17056450	17056480	-1	450
17056600	17063980	2	450
18368000	18368060	1	450
18368060	18368120	-1	450
18368120	18368150	1	450
18368150	18368180	-1	450
18368180	18368210	1	450
18368210	18368360	-1	450
18368360	18368420	1	450
18368420	18368450	-1	450
